2022-06-06T18:34:42.933808
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
7,8.1105e-05,0.000836543,0.000397338,2.87037e-05,0.000368635,18.1393,24.0065,1.51058
0,8.5093e-05,0.000819188,0.000326412,3.11951e-05,0.000295217,18.3456,24.0014,1.50874
5,9.446e-05,0.000672732,0.000307947,2.89774e-05,0.000278969,18.2358,24.029,1.50835
8,7.3084e-05,0.00142914,0.000385999,2.57438e-05,0.000360256,18.288,24.0204,1.51058
6,7.6919e-05,0.000663874,0.000321053,2.48898e-05,0.000296163,18.3137,24.0193,1.50857
3,6.8425e-05,0.000813612,0.000345403,2.70244e-05,0.000318378,18.3344,24.0049,1.50892
4,8.5365e-05,0.00135922,0.000397942,3.43633e-05,0.000363578,18.3417,24.193,1.51059
9,7.2842e-05,0.000765063,0.000288361,3.60723e-05,0.000252288,18.3693,24.2005,1.50804
2,8.759e-05,0.000810157,0.000328106,2.42847e-05,0.000303821,18.4676,24.0207,1.51049
1,8.5182e-05,0.000709924,0.000339707,2.76826e-05,0.000312024,18.5475,24.0077,1.50943
2022-06-06T18:35:22.553529
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
3,8.3393e-05,0.000786562,0.000350806,2.73376e-05,0.000323468,18.26,24.0006,1.51
7,8.1379e-05,0.000790195,0.000336768,2.69803e-05,0.000309787,18.2379,24.0307,1.50891
6,8.4571e-05,0.000953059,0.000382765,2.80697e-05,0.000354695,18.256,24.0359,1.51331
8,8.5777e-05,0.000771687,0.000377077,2.78977e-05,0.00034918,18.2799,24.0317,1.51072
0,8.4693e-05,0.00142283,0.000364903,2.90426e-05,0.00033586,18.4074,24.0043,1.51061
1,7.6767e-05,0.000786458,0.000327151,2.74454e-05,0.000299706,18.3548,24.0028,1.50938
4,7.8106e-05,0.000651727,0.000321994,3.04511e-05,0.000291543,18.3479,24.2065,1.51049
5,8.6514e-05,0.000861597,0.000319066,2.74837e-05,0.000291583,18.3682,24.0295,1.50836
9,7.5751e-05,0.00125161,0.000347049,4.29234e-05,0.000304126,18.4286,24.2478,1.5108
2,8.0408e-05,0.000756252,0.000360259,2.65576e-05,0.000333701,18.6709,24.0035,1.50719
2022-06-06T18:36:02.167202
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
2,8.6631e-05,0.000881884,0.000362811,3.08734e-05,0.000331937,18.1364,24.0014,1.51273
0,8.9418e-05,0.00122972,0.00035264,3.13465e-05,0.000321294,18.239,24.0034,1.51069
1,8.6757e-05,0.000658782,0.00030391,2.77528e-05,0.000276157,18.298,24.0304,1.50935
6,7.1035e-05,0.000915669,0.000372871,2.69616e-05,0.00034591,18.2292,24.0008,1.5089
8,7.5005e-05,0.00073162,0.000335154,3.0167e-05,0.000304987,18.2394,24.0323,1.51131
9,7.6845e-05,0.000702062,0.000346003,4.34514e-05,0.000302552,18.268,24.1677,1.50892
5,7.9491e-05,0.000703835,0.000343214,2.63373e-05,0.000316877,18.3082,24.0335,1.5089
3,9.6685e-05,0.000661092,0.000305755,3.09128e-05,0.000274842,18.3843,24.0007,1.51188
7,8.364e-05,0.00064484,0.000313665,2.59117e-05,0.000287754,18.3617,24.031,1.51115
4,0.000102955,0.00114607,0.000431841,4.01074e-05,0.000391733,18.4038,24.1704,1.50977
2022-06-06T18:36:41.870512
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
8,8.2248e-05,0.000727535,0.000303859,2.70806e-05,0.000276778,18.1635,24.0065,1.50936
3,9.9148e-05,0.00110562,0.000389613,3.04596e-05,0.000359153,18.2154,24.0182,1.51115
4,0.000101075,0.00112827,0.000403184,3.47206e-05,0.000368463,18.2519,24.2017,1.5108
0,9.1483e-05,0.000696244,0.000337968,3.06054e-05,0.000307363,18.3695,24.0055,1.51253
5,8.9102e-05,0.000849596,0.000344746,2.75287e-05,0.000317218,18.2744,24.0187,1.50933
6,8.0152e-05,0.000768233,0.000326796,2.53881e-05,0.000301408,18.2842,24.036,1.51241
2,7.5596e-05,0.000686005,0.000303883,2.723e-05,0.000276653,18.4045,24.0284,1.50989
7,8.2906e-05,0.000711356,0.000340981,2.40106e-05,0.00031697,18.3657,24.0055,1.5094
1,8.5623e-05,0.00084042,0.000362751,3.09522e-05,0.000331799,18.4734,24.0009,1.50894
9,7.894e-05,0.00091059,0.000334949,3.89299e-05,0.000296019,18.3875,24.188,1.51468
2022-06-06T18:37:21.652110
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
1,8.5925e-05,0.000956732,0.000372678,2.82468e-05,0.000344431,18.2014,24.0021,1.50894
2,9.4201e-05,0.00171954,0.000468516,3.15464e-05,0.00043697,18.1947,24.0206,1.5114
7,8.36e-05,0.000751016,0.000306082,2.90006e-05,0.000277082,18.1502,24.0059,1.51068
9,8.0307e-05,0.000861912,0.000353821,4.23887e-05,0.000311432,18.3024,24.1653,1.51024
0,8.5191e-05,0.00101144,0.000326474,2.8461e-05,0.000298013,18.4557,24.0062,1.51166
6,7.7743e-05,0.000988445,0.000340415,2.67906e-05,0.000313624,18.346,24.0331,1.51022
4,7.7354e-05,0.000805837,0.000362024,3.35297e-05,0.000328494,18.3885,24.2178,1.513
5,8.0277e-05,0.000850318,0.000327144,2.68178e-05,0.000300326,18.4262,24.0114,1.5108
8,7.9636e-05,0.000771142,0.000341837,2.49853e-05,0.000316852,18.4375,24.0162,1.5089
3,8.1477e-05,0.000995677,0.00035681,2.63626e-05,0.000330448,18.5075,24.012,1.51118
2022-06-22T09:48:21.752556
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
2022-06-22T09:48:46.684838
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
1,9.9415e-05,0.00110328,0.000369751,3.01694e-05,0.000339582,18.2174,24.0004,1.51075
0,8.7994e-05,0.000722137,0.00036016,3.07892e-05,0.000329371,18.2632,24.0009,1.51263
3,9.3666e-05,0.000955598,0.000380725,3.15253e-05,0.000349199,18.2117,24.0043,1.50807
5,8.1005e-05,0.000639423,0.000304961,2.7858e-05,0.000277103,18.2279,24.0381,1.51181
2,8.612e-05,0.000985567,0.000338628,2.71133e-05,0.000311514,18.3206,24.0146,1.50888
6,7.7263e-05,0.000754815,0.000301557,2.79804e-05,0.000273577,18.3016,24.0387,1.50891
7,7.5244e-05,0.00122109,0.000430023,2.35751e-05,0.000406448,18.3025,24.0082,1.50801
4,8.4818e-05,0.000946303,0.000360612,3.75503e-05,0.000323062,18.3566,24.1643,1.51048
8,7.8463e-05,0.000690563,0.000316512,2.33553e-05,0.000293157,18.3354,24.0248,1.50802
9,7.2438e-05,0.00100017,0.000346589,3.78417e-05,0.000308747,18.3878,24.204,1.51342
2022-06-22T09:49:19.899255
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
0,8.7681e-05,0.00131054,0.000440647,3.20368e-05,0.000408611,18.1976,24.0024,1.50897
1,8.0269e-05,0.000834153,0.000311512,2.52066e-05,0.000286306,18.1949,24.0352,1.50976
4,8.0764e-05,0.00105841,0.000421846,4.01475e-05,0.000381698,18.2181,24.1634,1.50419
3,8.3644e-05,0.00112754,0.000338923,3.09907e-05,0.000307932,18.2382,24.0009,1.51083
5,8.7499e-05,0.00127089,0.00037079,3.12741e-05,0.000339516,18.2259,24.028,1.51096
8,6.8884e-05,0.000771687,0.000331722,2.57598e-05,0.000305962,18.2341,24.0314,1.50891
7,7.4017e-05,0.000997859,0.000343311,2.56242e-05,0.000317686,18.2582,24.0249,1.51045
2,8.0686e-05,0.000985749,0.000347193,2.91132e-05,0.00031808,18.329,24.0032,1.5079
6,7.2181e-05,0.0010091,0.00032643,2.74048e-05,0.000299025,18.3769,24.0006,1.51047
9,0.000105156,0.000928495,0.000377764,4.16234e-05,0.000336141,18.4324,24.2854,1.51025
2022-06-22T09:50:04.939562
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
0,8.1232e-05,0.000972349,0.000353963,2.91748e-05,0.000324788,18.1644,24.0025,1.50948
1,8.9905e-05,0.000980418,0.000400757,2.97775e-05,0.000370979,18.2548,24.0006,1.50851
3,8.1524e-05,0.000903234,0.000348297,2.72576e-05,0.000321039,18.2559,24.0017,1.51175
5,8.7958e-05,0.000787243,0.000320525,2.61029e-05,0.000294422,18.2755,24.0291,1.51685
8,8.1214e-05,0.000876932,0.000299167,2.83015e-05,0.000270866,18.2576,24.0338,1.5089
4,7.039e-05,0.001289,0.000358541,3.87579e-05,0.000319783,18.3845,24.1772,1.51199
6,7.3217e-05,0.000835529,0.000319464,2.49957e-05,0.000294468,18.3804,24.0427,1.51185
2,8.0504e-05,0.000671207,0.000315897,3.03484e-05,0.000285549,18.48,24.0007,1.50659
7,8.1905e-05,0.000685393,0.000300251,2.65838e-05,0.000273667,18.5036,24.0409,1.50802
9,9.3619e-05,0.000948757,0.000400054,4.09874e-05,0.000359066,18.6329,24.5943,1.5155
