2022-06-07T16:15:49.136198
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
2,6.1461e-05,0.00207091,0.00049721,3.68351e-05,0.000460375,18.1863,24.0011,1.50988
1,8.7911e-05,0.0027733,0.000858776,7.01987e-05,0.000788577,18.3988,24.0261,1.5093
0,8.3108e-05,0.00543484,0.000934608,5.70634e-05,0.000877544,18.5663,24.0023,1.51066
2022-06-07T16:28:16.764094
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
1,7.5853e-05,0.00251097,0.000646421,5.26232e-05,0.000593798,18.3756,24.0026,1.50936
2,6.8578e-05,0.00257896,0.000779789,5.19955e-05,0.000727793,18.4005,24.0071,1.51079
0,7.7641e-05,0.00342337,0.001052,7.6651e-05,0.000975345,18.7406,24.0016,1.50879
