2023-01-02T22:08:37.561884
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
5,0.0012299,0.00859707,0.00342137,0.00213422,0.00128716,14.5602,17.1133,1.50819
9,0.000899162,0.0117066,0.00415127,0.00285339,0.00129788,14.5641,17.7721,1.50706
1,0.000918009,0.0517827,0.0100653,0.00861969,0.00144561,14.5497,17.3671,1.50721
7,0.00119674,0.0229684,0.00495286,0.00358892,0.00136394,14.6211,17.1411,1.50989
6,0.00117614,0.0177448,0.00396775,0.00245764,0.00151011,15.6245,17.6078,1.50491
4,0.000989997,0.0205508,0.00757334,0.00603871,0.00153463,15.6365,17.513,1.51837
0,0.00106458,0.0114165,0.00455006,0.00310509,0.00144497,15.6794,18.0875,1.50879
3,0.00120528,0.0342899,0.00607559,0.00482351,0.00125208,15.7297,17.5694,1.50794
8,0.00200492,0.0437079,0.0100358,0.00844424,0.00159153,16.6936,18.3763,1.50554
2,0.000955781,0.182368,0.0261858,0.0247623,0.00142348,16.903,18.948,1.50894
