2022-06-06T18:41:25.174567
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
0,0.000119961,0.00226724,0.000656617,3.01903e-05,0.000626426,18.3863,24.0262,1.50801
1,0.000106645,0.0025494,0.000491995,2.68596e-05,0.000465135,18.4523,24.0055,1.5089
4,0.000149439,0.00144402,0.000504475,2.98427e-05,0.000474632,18.2806,24.019,1.50913
3,0.000130367,0.00119651,0.000453151,3.34747e-05,0.000419676,18.351,24.0069,1.50895
2,0.000109831,0.00143227,0.000596307,3.56613e-05,0.000560646,18.5898,24.002,1.50801
6,7.2253e-05,0.0014184,0.00050274,4.01317e-05,0.000462608,18.1301,24.1124,1.50807
16,8.9264e-05,0.00154578,0.000448126,3.07629e-05,0.000417363,18.0149,24.0104,1.51313
9,9.9047e-05,0.00137249,0.000447505,3.76884e-05,0.000409816,18.2052,24.0214,1.51257
7,9.391e-05,0.00130006,0.000526013,3.49031e-05,0.00049111,18.2702,24.0072,1.51412
14,9.8201e-05,0.00113132,0.000458054,3.56449e-05,0.000422409,18.1211,24.0016,1.50901
5,0.000119619,0.000886638,0.000429052,3.49306e-05,0.000394122,18.4108,24.0292,1.51371
15,0.000128668,0.0016483,0.000473853,3.1674e-05,0.000442179,18.1399,24.0382,1.51139
11,9.9657e-05,0.00107218,0.00047341,3.75706e-05,0.000435839,18.2502,24.1269,1.51319
10,9.0169e-05,0.00141862,0.000492295,3.69027e-05,0.000455392,18.2925,24.0634,1.51257
22,7.2151e-05,0.00114449,0.000463529,2.79411e-05,0.000435588,18.1997,24.0446,1.50887
35,0.000118198,0.00097496,0.000434008,3.05561e-05,0.000403452,18.2436,24.0001,1.51064
39,8.8838e-05,0.00150471,0.000444982,3.20511e-05,0.000412931,18.2382,24.0027,1.50923
8,0.000114103,0.00152422,0.000576958,3.55544e-05,0.000541403,18.512,24.0852,1.5094
20,7.8971e-05,0.00135209,0.000432487,3.16679e-05,0.000400819,18.3019,24.0034,1.50801
29,9.0735e-05,0.0019971,0.00053028,2.89411e-05,0.000501339,18.2861,24.0468,1.50953
37,9.6986e-05,0.000874331,0.000431449,2.6668e-05,0.000404781,18.2738,24.029,1.5097
25,9.8977e-05,0.00132841,0.000552258,2.97182e-05,0.00052254,18.295,24.0015,1.5111
30,7.9889e-05,0.00173018,0.00055359,3.11183e-05,0.000522472,18.2893,24.0037,1.50803
18,8.0003e-05,0.0010919,0.000412516,2.68725e-05,0.000385644,18.3379,24.0066,1.5108
12,9.1085e-05,0.00108897,0.000443694,3.22834e-05,0.000411411,18.3949,24.0064,1.50792
17,8.8589e-05,0.000852653,0.000431511,2.84555e-05,0.000403056,18.3566,24.0034,1.50802
26,0.000123591,0.00123879,0.000541846,3.65212e-05,0.000505325,18.3112,24.1592,1.50801
27,0.00013262,0.00107529,0.000447035,2.86458e-05,0.000418389,18.3224,24.0156,1.50813
13,0.00010859,0.000911483,0.000404945,3.39138e-05,0.000371031,18.4411,24.0876,1.50802
38,8.2329e-05,0.00102869,0.000465132,2.86375e-05,0.000436494,18.3577,24.0328,1.51042
33,0.000105446,0.000985623,0.00053004,3.18683e-05,0.000498172,18.3681,24.0609,1.5101
28,7.9562e-05,0.00110445,0.000525424,2.80807e-05,0.000497343,18.3968,24.008,1.50803
21,0.000111794,0.00160199,0.00055614,2.8731e-05,0.000527409,18.4211,24.0157,1.50804
24,0.000107764,0.0022753,0.000548761,2.69798e-05,0.000521781,18.4171,24.0035,1.50867
34,9.7308e-05,0.00145401,0.000473765,3.50057e-05,0.00043876,18.429,24.0271,1.50885
36,8.9429e-05,0.0010168,0.000450622,3.00725e-05,0.000420549,18.4318,24.0127,1.50854
31,9.7904e-05,0.00128781,0.000432586,3.40833e-05,0.000398503,18.4527,24.0633,1.50838
19,0.000105622,0.000852674,0.000382692,2.61195e-05,0.000356572,18.5239,24.0171,1.50796
32,8.0673e-05,0.000999664,0.000406914,2.80773e-05,0.000378836,18.5314,24.014,1.51302
23,9.6381e-05,0.00126475,0.000483025,2.73933e-05,0.000455632,18.6035,24.0152,1.50803
2022-06-06T18:42:09.252610
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
0,0.000121442,0.00252521,0.000747264,2.76046e-05,0.00071966,18.4116,24.0275,1.50917
2,7.9685e-05,0.00120031,0.00046022,3.04023e-05,0.000429818,18.2321,24.0097,1.51195
1,8.38e-05,0.00126063,0.000480381,3.11908e-05,0.00044919,18.5285,24.0026,1.50803
