2022-06-06T18:27:42.201247
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
9,8.7205e-05,0.00141761,0.000462158,3.46821e-05,0.000427476,20.4768,24.4984,1.50995
2022-06-06T18:29:43.805108
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
8,0.000100101,0.00144986,0.000538816,3.26374e-05,0.000506179,18.2491,24.0492,1.50804
1,0.000103771,0.00106861,0.000476687,3.19279e-05,0.000444759,18.5967,24.1272,1.50538
11,9.1198e-05,0.00139988,0.000541979,3.68197e-05,0.000505159,18.4215,24.1383,1.51175
0,0.000156337,0.00150859,0.000445827,3.33011e-05,0.000412526,18.7977,24.0742,1.50795
15,9.4922e-05,0.000815722,0.000387354,2.65846e-05,0.000360769,18.4662,24.0217,1.51496
2,9.4867e-05,0.00187509,0.000672489,2.98493e-05,0.000642639,18.6699,24.3669,1.51157
10,9.8437e-05,0.000971128,0.000437243,2.95605e-05,0.000407683,18.6755,24.0386,1.50882
17,0.000100981,0.00159517,0.000536236,2.62485e-05,0.000509988,18.8016,24.0876,1.50816
5,9.9817e-05,0.0013513,0.000414105,2.59299e-05,0.000388176,18.9681,24.1926,1.51539
4,0.000100565,0.000899848,0.000385344,3.07707e-05,0.000354573,19.0885,24.0663,1.51177
9,0.000128864,0.00107439,0.000529709,3.47467e-05,0.000494962,19.2036,24.3709,1.51424
12,9.9412e-05,0.00192077,0.000553102,3.33722e-05,0.00051973,19.3454,24.2035,1.51164
7,9.2765e-05,0.000958405,0.000395031,3.13612e-05,0.00036367,19.4043,24.0919,1.50838
6,0.000106562,0.00101402,0.00046807,2.91722e-05,0.000438898,19.4205,24.1698,1.51074
14,9.6239e-05,0.00181939,0.00048903,2.53659e-05,0.000463664,19.4477,24.2959,1.50887
3,7.8282e-05,0.00124122,0.000434994,3.11914e-05,0.000403802,19.5317,24.249,1.51088
16,0.000102141,0.00095079,0.000430188,2.76916e-05,0.000402497,19.5333,24.0467,1.51202
13,7.7783e-05,0.00165511,0.000493785,3.07771e-05,0.000463008,19.6207,24.3535,1.5101
18,8.4126e-05,0.00136516,0.00039582,2.49069e-05,0.000370913,19.7611,24.0606,1.50931
19,8.6144e-05,0.00112272,0.000466455,3.9042e-05,0.000427413,20.6226,24.386,1.50956
2022-06-06T18:30:24.353604
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
0,9.8275e-05,0.00085525,0.000422279,3.52488e-05,0.00038703,18.467,24.0128,1.50778
3,8.3668e-05,0.00150532,0.000466169,3.90959e-05,0.000427073,18.1882,24.1461,1.50847
5,0.000103796,0.00106922,0.000424215,2.99638e-05,0.000394251,18.4167,24.1257,1.5089
19,7.9621e-05,0.000961578,0.000431775,3.59469e-05,0.000395828,18.4211,24.1348,1.50879
14,0.00010435,0.00126952,0.000446752,2.87334e-05,0.000418019,18.5675,24.0496,1.50741
12,8.5799e-05,0.00234182,0.000642447,3.19003e-05,0.000610546,18.5914,24.5562,1.51286
6,9.9346e-05,0.000994656,0.000413203,3.12313e-05,0.000381971,18.7374,24.1264,1.51247
1,9.4436e-05,0.000949616,0.000421619,3.08623e-05,0.000390757,19.095,24.1457,1.5077
10,9.8658e-05,0.000845472,0.000392863,3.1676e-05,0.000361187,18.8659,24.1253,1.50947
18,8.4241e-05,0.00120445,0.000515361,2.79339e-05,0.000487427,18.8654,24.0761,1.50914
4,0.000107623,0.00113484,0.000462793,2.88693e-05,0.000433924,19.064,24.0983,1.5088
2,9.091e-05,0.00183483,0.000548714,3.15389e-05,0.000517175,19.1533,24.4834,1.50885
8,8.3919e-05,0.00127115,0.000504026,2.49572e-05,0.000479069,19.1522,24.1076,1.50958
9,9.3394e-05,0.00242481,0.00056971,3.46525e-05,0.000535057,19.3068,24.2834,1.51015
13,9.1769e-05,0.00197479,0.000527144,3.17597e-05,0.000495384,19.4887,24.179,1.5071
17,8.6748e-05,0.00112617,0.00046777,2.62379e-05,0.000441532,19.4699,24.0301,1.50879
16,9.1118e-05,0.00077514,0.000408583,2.76819e-05,0.000380901,19.7022,24.0115,1.50797
11,9.4041e-05,0.000772662,0.000357032,2.75238e-05,0.000329509,19.7554,24.1802,1.5128
7,6.8254e-05,0.00105563,0.000453627,2.89875e-05,0.000424639,19.8175,24.1073,1.50835
15,9.1028e-05,0.000960964,0.00037997,2.61887e-05,0.000353781,19.8879,24.0223,1.51186
