2022-06-06T18:45:04.405254
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
6,0.000123287,0.00141299,0.000380031,2.83499e-05,0.000351681,18.6748,24.7557,1.51012
3,9.5843e-05,0.00132842,0.000419651,3.05264e-05,0.000389125,18.7147,24.739,1.51118
5,5.8824e-05,0.00114852,0.000336581,2.77878e-05,0.000308793,18.8576,24.1126,1.51235
4,7.3854e-05,0.000629597,0.000299,2.78123e-05,0.000271188,19.3809,24.0885,1.50679
7,9.6821e-05,0.00115504,0.000364328,2.66635e-05,0.000337664,19.3785,26.0025,1.50828
2,8.6516e-05,0.00124462,0.00042656,3.06571e-05,0.000395903,20.375,26.0115,1.50815
8,9.9406e-05,0.00097337,0.000372283,2.96961e-05,0.000342587,20.6595,27.785,1.51343
1,9.5826e-05,0.000943571,0.000359832,3.27283e-05,0.000327104,21.5475,27.8141,1.51142
9,8.669e-05,0.00117993,0.000394498,2.80966e-05,0.000366401,22.1559,30.0014,1.51035
0,9.2071e-05,0.000945035,0.000361519,2.90264e-05,0.000332493,22.6188,30.0008,1.51035
2022-06-06T18:46:33.943095
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
6,9.6748e-05,0.000739259,0.000401316,2.68119e-05,0.000374504,18.5063,24.7394,1.51014
5,9.0826e-05,0.00121352,0.000375778,2.59804e-05,0.000349798,19.4098,24.1784,1.50807
7,7.4881e-05,0.00221563,0.000418974,2.43139e-05,0.00039466,19.4364,25.9999,1.51144
2,9.2009e-05,0.00157608,0.000398745,2.69006e-05,0.000371844,19.5262,26.0043,1.51396
4,9.0689e-05,0.00102224,0.000407432,2.79344e-05,0.000379498,19.7001,24.2138,1.51266
3,6.4586e-05,0.000834502,0.000364209,2.37551e-05,0.000340454,19.8594,24.7478,1.51014
1,9.9034e-05,0.00125996,0.000398471,2.7598e-05,0.000370873,20.6204,27.8136,1.51143
8,9.9946e-05,0.00149462,0.000407252,2.85495e-05,0.000378703,20.683,27.79,1.51149
0,8.174e-05,0.00101528,0.000430528,2.97847e-05,0.000400744,22.3244,30.0001,1.51147
9,8.6816e-05,0.000773936,0.000304063,2.82628e-05,0.0002758,22.4606,30.0023,1.51029
2022-06-06T18:48:03.525402
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
6,8.2733e-05,0.00115069,0.000366898,2.57419e-05,0.000341156,18.4043,24.741,1.51012
4,9.7594e-05,0.000854209,0.000339066,2.36371e-05,0.000315429,18.6785,24.1201,1.50576
7,8.8064e-05,0.0013164,0.000416025,2.70907e-05,0.000388934,19.3918,26.0019,1.51037
2,0.000106781,0.00104439,0.000333697,3.11685e-05,0.000302528,19.6694,26.0016,1.51324
5,9.4614e-05,0.0012332,0.000358585,2.49192e-05,0.000333665,19.6494,24.0991,1.51307
3,9.3838e-05,0.000766794,0.000401983,2.79358e-05,0.000374047,20.0514,24.8102,1.51013
1,8.8974e-05,0.00139051,0.000367829,2.85301e-05,0.000339299,20.6639,27.8377,1.5115
8,8.5385e-05,0.00146785,0.000398943,2.88264e-05,0.000370117,20.5476,27.7878,1.51153
0,0.000126005,0.00104779,0.000405975,3.09481e-05,0.000375026,22.0254,30,1.51024
9,8.1426e-05,0.000956448,0.000353913,2.73165e-05,0.000326596,22.4292,30.0011,1.51029
2022-06-06T18:49:33.179721
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
3,0.000131149,0.0012722,0.000394084,2.84353e-05,0.000365649,18.4396,24.7392,1.51426
4,9.95e-05,0.00086336,0.000327912,3.01682e-05,0.000297744,19.0454,24.0942,1.51444
6,7.3391e-05,0.000953257,0.000346338,2.57198e-05,0.000320618,19.2621,24.7494,1.51014
7,8.6352e-05,0.000945252,0.000381971,2.75851e-05,0.000354386,19.4148,26.0007,1.50706
5,9.221e-05,0.000751312,0.000333705,2.56541e-05,0.000308051,19.6615,24.0875,1.50956
2,9.7477e-05,0.000799899,0.000348865,2.82325e-05,0.000320632,20.5958,26.0051,1.51082
1,9.2465e-05,0.000984992,0.000453405,3.15947e-05,0.00042181,20.6552,27.8333,1.51149
8,8.5543e-05,0.00101055,0.000384554,3.02437e-05,0.000354311,21.9125,27.9225,1.51149
0,0.000106528,0.00135345,0.00039392,3.17228e-05,0.000362197,22.2963,30.0366,1.51028
9,7.6099e-05,0.000904156,0.000379367,2.71918e-05,0.000352175,22.4729,30.0088,1.51032
2022-06-06T18:51:02.827683
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
6,9.871e-05,0.00115516,0.000369775,2.89898e-05,0.000340786,18.7248,24.7396,1.51012
4,9.4682e-05,0.00113133,0.000362108,2.60877e-05,0.00033602,19.3344,24.1372,1.50552
7,8.0247e-05,0.00113668,0.000432095,2.79936e-05,0.000404101,19.3553,26.0015,1.50796
2,0.000106132,0.00112265,0.000391464,3.31261e-05,0.000358338,19.7123,26.0118,1.50946
3,0.000140837,0.000957047,0.000397037,2.71873e-05,0.00036985,20.0562,24.743,1.51015
5,8.6068e-05,0.00127884,0.000380387,2.74991e-05,0.000352888,20.4334,24.2307,1.50662
8,8.1698e-05,0.000759564,0.000326812,2.94552e-05,0.000297357,20.8825,27.7889,1.51136
1,8.0209e-05,0.000923374,0.000385061,2.92433e-05,0.000355818,22.2002,27.8312,1.51141
9,8.5881e-05,0.000816985,0.000331219,2.64502e-05,0.000304769,22.086,30.0009,1.51229
0,0.000118234,0.00217014,0.000437297,2.94183e-05,0.000407879,22.5089,30.002,1.51026
